Unidade;Disciplina;Código da disciplina;Turma;Quantidade de alunos;Dia da semana;Horário de início;Horário de término;Data de início;Data de término
ECI;CULTURA E INFORMAÇÃO;-;-;45;Terca;14:00;17:40;1/07/2016;11/07/2016
ECI;CULTURA E INFORMAÇÃO;-;-;52;Sexta;19:00;22:30;1/07/2016;11/07/2016
ECI;CULTURA E INFORMAÇÃO;-;-;57;Sexta;19:00;22:30;1/07/2016;11/07/2016
ENG;DESDOBRAMENTO DA FUNÇÃO QUALIDADE;-;P;30;Quarta;09:30;11:30;1/07/2016;11/07/2016
ENG;DESDOBRAMENTO DA FUNÇÃO QUALIDADE;-;P;30;Sexta;09:30;11:30;1/07/2016;11/07/2016
ENG;DESENHO;EMN011;L;35;Terca;13:00;15:30;1/07/2016;11/07/2016
ENG;DESENHO E MAPA DE MINA;EMN012;L;35;Terca;13:00;15:30;1/07/2016;11/07/2016
EBA;DESENHO TÉCNICO DE MODA;-;-;25;Terca;19:00;22:30;1/07/2016;11/07/2016
EBA;DESIGN SONORO II;-;-;30;Quarta;18:30;22:30;1/07/2016;11/07/2016
EBA;DESIGN SONORO II;-;-;30;Segunda;18:30;22:30;1/07/2016;11/07/2016
FAE;DIDÁTICA DA LICENCIATURA;MTE101;A;40;Quarta;07:00;11:00;1/07/2016;11/07/2016
FAE;DIDÁTICA DA LICENCIATURA;MTE101;K;40;Quinta;19:00;22:30;1/07/2016;11/07/2016
FAFICH;Disciplina ênfase Social;-;G3;30;Quinta;13:00;16:30;1/07/2016;11/07/2016
ENG;DISP. E CIRC. ELETRÔNICOS BÁSICOS;-;-;63;Quinta;09:25;11:05;1/07/2016;11/07/2016
ENG;DISP. E CIRC. ELETRÔNICOS BÁSICOS;-;-;63;Terca;09:25;11:05;1/07/2016;11/07/2016
ENG;DISP. E CIRC. ELETRÔNICOS BÁSICOS;-;B;30;Quinta;09:30;11:30;1/07/2016;11/07/2016
ENG;DISP. E CIRC. ELETRÔNICOS BÁSICOS;-;B;30;Terca;09:30;11:30;1/07/2016;11/07/2016
FAE;ECONOMETRIA I;-;-;30;Quarta;19:00;20:40;1/07/2016;11/07/2016
FAFICH;ECONOMETRIA I;-;-;30;Sexta;20:50;22:30;1/07/2016;11/07/2016
FACE;ECONOMIA AI;-;-;70;Quarta;19:00;20:40;1/07/2016;11/07/2016
FACE;ECONOMIA AI;-;-;70;Segunda;19:00;20:40;1/07/2016;11/07/2016
FACE;ECONOMIA AI;-;-;70;Sexta;13:30;17:10;1/07/2016;11/07/2016
FACE;ECONOMIA AI;-;-;100;Quinta;09:30;11:10;1/07/2016;11/07/2016
FACE;ECONOMIA AI;-;-;100;Quinta;20:50;22:30;1/07/2016;11/07/2016
FACE;ECONOMIA AI;-;-;100;Sexta;07:30;11:10;1/07/2016;11/07/2016
FACE;ECONOMIA AI;-;-;100;Terca;09:30;11:10;1/07/2016;11/07/2016
FACE;ECONOMIA AI;-;-;100;Terca;20:50;22:30;1/07/2016;11/07/2016
FACE;ECONOMIA AI;-;X;90;Quarta;09:20;11:00;1/07/2016;11/07/2016
FACE;ECONOMIA AI;-;X;100;Segunda;09:20;11:00;1/07/2016;11/07/2016
FACE;ECONOMIA AI;-;Z;30;Quinta;19:00;20:40;1/07/2016;11/07/2016
FACE;ECONOMIA AI;-;Z;30;Terca;19:00;20:40;1/07/2016;11/07/2016
FAFICH;ECONOMIA E ECOLOGIA;ECN073;-;30;Segunda;21:00;22:40;1/07/2016;11/07/2016
FAFICH;ECONOMIA E ECOLOGIA;ECN074;-;30;Quarta;21:00;22:40;1/07/2016;11/07/2016
FACE;ECONOMIA INTERNACIONAL;-;-;100;Quarta;20:50;22:30;1/07/2016;11/07/2016
FACE;ECONOMIA INTERNACIONAL;-;-;100;Segunda;20:50;22:30;1/07/2016;11/07/2016
